,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Belaya Gora,RU,68.5333,146.4167,-26.66,100,99,2.53,overcast clouds
310,Dzilam Gonzalez,MX,21.2833,-88.9333,81.05,65,0,8.19,clear sky
311,Tungor,RU,53.3808,142.9564,11.3,90,96,3.44,overcast clouds
312,Mangrol,IN,21.1167,70.1167,77.31,60,5,7.29,clear sky
313,Vila,PT,42.0304,-8.1588,48.7,93,100,4.54,light rain
314,Kaeo,NZ,-35.1,173.7833,71.33,66,2,2.59,clear sky
315,Kati,ML,12.7441,-8.0726,78.21,29,60,2.33,broken clouds
316,Kavaratti,IN,10.5669,72.642,80.17,78,99,3.69,overcast clouds
317,Bud,US,39.447,-86.1758,37.85,64,18,4.45,few clouds
318,Marawi,PH,7.9986,124.2928,67.84,94,65,1.25,broken clouds
319,Nyagan,RU,62.1406,65.3936,5.67,96,100,6.6,overcast clouds
320,Hede,CN,33.7681,120.2517,48.92,62,98,5.86,overcast clouds
321,Kiama,AU,-34.6833,150.8667,72.25,64,53,15.99,broken clouds
322,Derzhavinsk,KZ,51.1,66.3167,35.62,97,100,27.72,overcast clouds
323,Guanica,PR,17.9716,-66.908,82.92,82,95,3.8,overcast clouds
324,Makakilo City,US,21.3469,-158.0858,80.92,63,75,13.8,light rain
325,Chulym,RU,55.0997,80.9572,33.06,92,100,16.11,overcast clouds
326,Kudahuvadhoo,MV,2.6708,72.8944,80.49,78,100,14.38,heavy intensity rain
327,Constitucion,CL,-35.3333,-72.4167,60.1,71,4,9.04,clear sky
328,Naze,JP,28.3667,129.4833,67.12,76,89,14.25,overcast clouds
329,Statesboro,US,32.4488,-81.7832,58.8,41,40,8.05,scattered clouds
330,Kochubey,RU,44.3861,46.5825,51.96,64,79,23.64,broken clouds
331,Fort Frances,CA,48.5999,-93.4003,24.17,69,100,3.44,overcast clouds
332,Kurdzhinovo,RU,43.9884,40.9552,40.89,71,11,3.6,few clouds
333,Itapeva,BR,-23.9822,-48.8756,73.53,65,30,3.89,scattered clouds
334,Igarka,RU,67.4667,86.5833,-16.42,86,11,7.16,few clouds
335,Karla,EE,59.3723,24.9275,35.56,100,87,0.0,fog
336,Pokhara,NP,28.2333,83.9833,56.25,54,2,5.08,clear sky
337,Karasjok,NO,69.4719,25.5112,32.04,95,100,6.04,overcast clouds
338,Pedernales,DO,18.0384,-71.744,80.98,77,61,6.15,light rain
339,Cayenne,GF,4.9333,-52.3333,80.64,83,100,3.44,overcast clouds
340,Kodiak,US,57.79,-152.4072,40.51,75,100,16.11,light rain
341,Birin,NP,26.8865,88.0718,48.54,82,7,4.83,clear sky
342,Bintulu,MY,3.1667,113.0333,77.41,100,40,0.0,scattered clouds
343,Isagarh,IN,24.8333,77.8833,62.87,42,0,3.02,clear sky
344,Okha,RU,53.5739,142.9478,13.8,84,87,4.25,overcast clouds
345,Padang,ID,-0.9492,100.3543,74.41,98,100,2.28,moderate rain
346,Lamu,KE,-2.2717,40.902,79.02,83,78,10.33,broken clouds
347,Mino,JP,34.8269,135.4706,58.23,66,100,3.44,overcast clouds
