,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Guerrero Negro,MX,66.7,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
79,Mar Del Plata,AR,68.83,light intensity drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,Santa Cruz Del Norte,CU,79.65,scattered clouds,23.1539,-81.9236,Rioger Art
83,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
90,Fare,PF,75.49,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
91,Palmares Do Sul,BR,68.38,overcast clouds,-30.2578,-50.5097,Hotel Campos Dourados.
92,Qui Nhon,VN,74.57,overcast clouds,13.7667,109.2333,Seagull Hotel
97,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
99,Mana,GF,77.47,moderate rain,5.6592,-53.7767,LE SAMANA
101,La Paz,BO,67.98,broken clouds,-16.5,-68.15,Hotel Presidente
104,Sao Filipe,CV,77.07,broken clouds,14.8961,-24.4956,Hotel Xaguate
106,Nalbari,IN,66.18,clear sky,26.4456,91.4354,I P Lodge
107,Kinkala,CG,72.64,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
109,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
110,Ixtapa,MX,80.22,scattered clouds,20.7,-105.2,hotel la terminal
111,Tual,ID,83.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
117,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
119,Pouembout,NC,80.19,few clouds,-21.1333,164.9,Camping de Tipenga
121,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Cititel Penang
123,Jaggayyapeta,IN,70.45,scattered clouds,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
127,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
130,Takoradi,GH,79.32,overcast clouds,4.8845,-1.7554,Raybow International Hotel
131,Hualmay,PE,66.18,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
136,Umuahia,NG,74.35,broken clouds,5.5263,7.4896,Hotel Macbek Limited
137,Hirara,JP,76.05,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
138,Teknaf,BD,68.7,clear sky,20.8624,92.3058,Forestry Guesthouse
141,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
